idMunicipio;numero;Departamento;Municipio;NUESTRO TIEMPO;FMLN;NUEVAS IDEAS;PDC;VAMOS;PCN;GANA;CD;ARENA;dpto_desc;muni_desc
82;14;la-libertad;sacacoyo;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;La Libertad;Sacacoyo
83;15;la-libertad;san-jose-villanueva;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;La Libertad;San José Villanueva
84;13;la-libertad;san-juan-opico;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;La Libertad;San Juan Opico
85;16;la-libertad;san-matias;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;La Libertad;San Matías
86;17;la-libertad;san-pablo-tacachico;;FMLN;;PDC;VAMOS;PCN;;CD;ARENA;La Libertad;San Pablo Tacachico
87;1;la-libertad;santa-tecla;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;La Libertad;Santa Tecla
88;18;la-libertad;talnique;;FMLN;;PDC;VAMOS;PCN;;CD;ARENA;La Libertad;Talnique
89;19;la-libertad;tamanique;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;La Libertad;Tamanique
90;20;la-libertad;teotepeque;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;La Libertad;Teotepeque
91;21;la-libertad;tepecoyo;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;La Libertad;Tepecoyo
92;22;la-libertad;zaragoza;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;La Libertad;Zaragoza
93;2;la-paz;cuyultitan;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;La Paz;Cuyultitán
94;3;la-paz;el-rosario;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;La Paz;El Rosario
95;4;la-paz;jerusalen;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;La Paz;Jerusalén
96;5;la-paz;mercedes-la-ceiba;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;La Paz;Mercedes La Ceiba
97;6;la-paz;olocuilta;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;La Paz;Olocuilta
98;7;la-paz;paraiso-de-osorio;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;La Paz;Paraíso de Osorio
99;8;la-paz;san-antonio-masahuat;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;La Paz;San Antonio Masahuat
100;9;la-paz;san-emigdio;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;La Paz;San Emigdio
101;10;la-paz;san-francisco-chinameca;;FMLN;;PDC;VAMOS;;;CD;ARENA;La Paz;San Francisco Chinameca
102;12;la-paz;san-juan-nonualco;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;La Paz;San Juan Nonualco
103;13;la-paz;san-juan-talpa;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;La Paz;San Juan Talpa
104;14;la-paz;san-juan-tepezontes;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;La Paz;San Juan Tepezontes
105;15;la-paz;san-luis-la-herradura;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;La Paz;San Luis La Herradura
106;16;la-paz;san-luis-talpa;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;La Paz;San Luis Talpa
107;17;la-paz;san-miguel-tepezontes;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;La Paz;San Miguel Tepezontes
108;11;la-paz;san-pedro-masahuat;;FMLN;;PDC;VAMOS;PCN;;CD;ARENA;La Paz;San Pedro Masahuat
109;18;la-paz;san-pedro-nonualco;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;La Paz;San Pedro Nonualco
110;19;la-paz;san-rafael-obrajuelo;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;La Paz;San Rafael Obrajuelo
111;20;la-paz;santa-maria-ostuma;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;La Paz;Santa María Ostuma
112;21;la-paz;santiago-nonualco;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;La Paz;Santiago Nonualco
113;22;la-paz;tapalhuaca;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;La Paz;Tapalhuaca
114;1;la-paz;zacatecoluca;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;La Paz;Zacatecoluca
115;2;la-union;anamoros;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;La Unión;Anamorós
116;3;la-union;bolivar;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;La Unión;Bolívar
117;4;la-union;concepcion-de-oriente;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;La Unión;Concepción de Oriente
118;5;la-union;conchagua;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;La Unión;Conchagua
119;6;la-union;el-carmen;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;La Unión;El Carmen
120;7;la-union;el-sauce;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;La Unión;El Sauce
121;8;la-union;intipuca;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;La Unión;Intipucá
122;1;la-union;la-union;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;La Unión;La Unión
123;9;la-union;lislique;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;La Unión;Lislique
124;10;la-union;meanguera-del-golfo;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;La Unión;Meanguera del Golfo
125;11;la-union;nueva-esparta;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;La Unión;Nueva Esparta
126;12;la-union;pasaquina;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;La Unión;Pasaquina
127;13;la-union;poloros;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;La Unión;Polorós
128;14;la-union;san-alejo;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;La Unión;San Alejo
129;15;la-union;san-jose-la-fuente;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;La Unión;San José
130;16;la-union;santa-rosa-de-lima;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;La Unión;Santa Rosa de Lima
131;17;la-union;yayantique;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;La Unión;Yayantique
132;18;la-union;yucuaiquin;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;La Unión;Yucuaiquín
133;2;morazan;arambala;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Morazán;Arambala
134;3;morazan;cacaopera;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Morazán;Cacaopera
